video_id,start,end_exclusive,label,window_index
video_01,30,45,0,0
video_01,165,180,0,1
video_01,180,195,0,2
video_01,195,210,0,3
video_01,210,225,0,4
video_01,225,240,0,5
video_01,285,300,0,6
video_01,330,345,0,7
video_01,345,360,0,8
video_01,390,405,0,9
video_01,405,420,0,10
video_01,420,435,0,11
video_01,450,465,0,12
video_01,465,480,0,13
video_01,480,495,0,14
video_01,555,570,0,15
video_01,570,585,0,16
video_01,585,600,0,17
video_01,600,615,0,18
video_01,615,630,0,19
video_01,630,645,0,20
video_01,645,660,0,21
video_01,660,675,0,22
video_01,675,690,0,23
video_01,690,705,0,24
video_01,705,720,0,25
video_01,720,735,0,26
video_01,735,750,0,27
video_01,750,765,0,28
video_01,765,780,0,29
video_01,780,795,0,30
video_01,795,810,0,31
video_01,810,825,0,32
video_01,825,840,0,33
video_01,840,855,0,34
video_01,855,870,0,35
video_01,900,915,0,36
video_01,975,990,0,37
video_01,1005,1020,0,38
video_01,1020,1035,0,39
video_01,1065,1080,0,40
video_01,1095,1110,0,41
video_01,1110,1125,0,42
video_01,1125,1140,0,43
video_01,1140,1155,0,44
video_01,1155,1170,0,45
video_01,1170,1185,0,46
video_01,1200,1215,0,47
video_01,1215,1230,0,48
video_01,1230,1245,0,49
video_01,1245,1260,0,50
video_01,1260,1275,0,51
video_01,1275,1290,0,52
video_01,1290,1305,0,53
video_01,1320,1335,0,54
video_01,1365,1380,0,55
video_01,1380,1395,0,56
video_01,1395,1410,0,57
video_01,1410,1425,0,58
video_01,1425,1440,0,59
video_01,1440,1455,0,60
video_01,1470,1485,0,61
video_01,1650,1665,0,62
video_01,1665,1680,0,63
video_01,1695,1710,0,64
video_01,1710,1725,0,65
video_01,1725,1740,0,66
video_01,1740,1755,0,67
video_01,1755,1770,0,68
video_01,1770,1785,0,69
video_01,1785,1800,0,70
video_01,1800,1815,0,71
video_01,1815,1830,0,72
video_01,1830,1845,0,73
video_01,1845,1860,0,74
video_01,2190,2205,0,75
video_01,2205,2220,0,76
video_01,2220,2235,0,77
video_01,2235,2250,0,78
video_01,2250,2265,0,79
video_01,2310,2325,0,80
video_01,2595,2610,0,81
video_01,2610,2625,0,82
video_01,2625,2640,0,83
video_01,2640,2655,0,84
video_01,2655,2670,0,85
video_01,2670,2685,0,86
video_01,2685,2700,0,87
video_01,2700,2715,0,88
video_01,2715,2730,0,89
video_01,2730,2745,0,90
video_01,2745,2760,0,91
video_01,2760,2775,0,92
video_01,2775,2790,0,93
video_01,2790,2805,0,94
video_01,2805,2820,0,95
video_01,2820,2835,0,96
video_01,2865,2880,0,97
video_01,2880,2895,0,98
video_01,2925,2940,0,99
video_01,2940,2955,0,100
video_01,3000,3015,0,101
video_01,3180,3195,0,102
video_01,3195,3210,0,103
video_01,3330,3345,0,104
video_01,3405,3420,0,105
video_01,3450,3465,0,106
video_01,3645,3660,0,107
video_01,3660,3675,0,108
video_01,3690,3705,0,109
video_01,4530,4545,1,110
video_01,4545,4560,1,111
video_01,4560,4575,1,112
video_01,4575,4590,1,113
video_01,4590,4605,1,114
video_01,4605,4620,1,115
video_01,5955,5970,1,116
video_01,10185,10200,0,117
video_01,10200,10215,0,118
video_01,10230,10245,0,119
video_01,10275,10290,0,120
video_01,10290,10305,0,121
video_01,10485,10500,0,122
video_01,10500,10515,0,123
video_01,10530,10545,0,124
video_01,10710,10725,0,125
video_01,10740,10755,0,126
video_01,10755,10770,0,127
video_01,10770,10785,0,128
video_01,11205,11220,0,129
video_01,11265,11280,0,130
video_01,11295,11310,0,131
