timestamp,phone_detected,head_down,looking_at_phone
0.07,0,0,0
0.20,0,0,0
0.33,0,0,0
0.47,0,0,0
0.60,0,0,0
0.73,0,0,0
0.87,0,0,0
1.00,0,0,0
1.13,0,0,0
1.27,0,0,0
1.40,0,0,0
1.53,0,0,0
1.67,0,0,0
1.80,0,0,0
1.93,0,0,0
2.07,0,0,0
2.20,0,0,0
2.33,0,0,0
2.47,0,0,0
2.60,0,0,0
2.73,0,0,0
2.87,0,0,0
3.00,0,0,0
3.13,0,0,0
3.27,0,0,0
3.40,0,0,0
3.53,0,0,0
3.67,0,0,0
3.80,0,0,0
3.93,0,0,0
4.07,0,0,0
4.20,0,0,0
4.33,0,0,0
4.47,0,0,0
4.60,0,0,0
4.73,0,0,0
4.87,0,0,0
5.00,0,0,0
5.13,0,0,0
5.27,0,0,0
5.40,0,0,0
5.53,0,0,0
5.67,0,0,0
5.80,0,0,0
5.93,0,0,0
6.07,0,0,0
6.20,0,0,0
6.33,0,0,0
6.47,0,0,0
6.60,0,0,0
6.73,0,0,0
6.87,0,0,0
7.00,0,0,0
7.13,0,0,0
7.27,0,0,0
7.40,0,0,0
7.53,0,0,0
7.67,0,0,0
7.80,0,0,0
7.93,0,0,0
8.07,0,0,0
8.20,0,0,0
8.33,0,0,0
8.47,0,0,0
8.60,0,0,0
8.73,0,0,0
8.87,0,0,0
9.00,0,0,0
9.13,0,0,0
9.27,0,0,0
9.37,0,0,0
9.43,0,0,0
9.50,0,0,0
9.57,0,0,0
9.63,0,0,0
9.70,0,0,0
9.77,0,0,0
9.83,0,0,0
9.90,0,0,0
9.97,0,0,0
10.03,0,0,0
10.10,0,0,0
10.17,0,0,0
10.23,0,0,0
10.30,0,0,0
10.37,0,0,0
10.43,0,0,0
10.50,0,0,0
10.57,0,0,0
10.63,0,0,0
10.70,0,0,0
10.77,0,0,0
10.83,0,0,0
10.90,0,0,0
10.97,0,0,0
11.03,0,0,0
11.10,0,0,0
11.17,0,0,0
11.23,0,0,0
11.30,0,0,0
11.37,0,0,0
