video_id,frame_index,timestamp_seconds,state
video_01,0,0.0,alert
video_01,1,0.066,alert
video_01,2,0.133,alert
video_01,3,0.199,alert
video_01,4,0.266,alert
video_01,5,0.333,alert
video_01,6,0.399,alert
video_01,7,0.466,alert
video_01,8,0.533,alert
video_01,9,0.599,alert
video_01,10,0.666,alert
video_01,11,0.733,alert
video_01,12,0.799,alert
video_01,13,0.866,alert
video_01,14,0.933,alert
video_01,15,0.999,alert
video_01,16,1.066,alert
video_01,17,1.133,alert
video_01,18,1.199,alert
video_01,19,1.266,alert
video_01,20,1.333,alert
video_01,21,1.399,alert
video_01,22,1.466,alert
video_01,23,1.533,alert
video_01,24,1.599,alert
video_01,25,1.666,alert
video_01,26,1.733,alert
video_01,27,1.799,alert
video_01,28,1.866,alert
video_01,29,1.933,alert
video_01,30,1.999,alert
video_01,31,2.066,alert
video_01,32,2.133,alert
video_01,33,2.199,alert
video_01,34,2.266,alert
video_01,35,2.333,alert
video_01,36,2.399,alert
video_01,37,2.466,alert
video_01,38,2.533,alert
video_01,39,2.599,alert
video_01,40,2.666,alert
video_01,41,2.733,alert
video_01,42,2.799,alert
video_01,43,2.866,alert
video_01,44,2.933,alert
video_01,45,2.999,alert
video_01,46,3.066,alert
video_01,47,3.133,alert
video_01,48,3.199,alert
video_01,49,3.266,alert
video_01,50,3.333,alert
video_01,51,3.399,alert
video_01,52,3.466,alert
video_01,53,3.533,alert
video_01,54,3.599,alert
video_01,55,3.666,alert
video_01,56,3.733,alert
video_01,57,3.799,alert
video_01,58,3.866,alert
video_01,59,3.933,alert
video_01,60,3.999,alert
video_01,61,4.066,alert
video_01,62,4.133,alert
video_01,63,4.199,alert
video_01,64,4.266,alert
video_01,65,4.333,alert
video_01,66,4.399,alert
video_01,67,4.466,alert
video_01,68,4.533,alert
video_01,69,4.599,alert
video_01,70,4.666,alert
video_01,71,4.733,alert
video_01,72,4.799,alert
video_01,73,4.866,alert
video_01,74,4.933,alert
video_01,75,4.999,alert
video_01,76,5.066,alert
video_01,77,5.133,alert
video_01,78,5.199,alert
video_01,79,5.266,alert
video_01,80,5.333,alert
video_01,81,5.399,alert
video_01,82,5.466,alert
video_01,83,5.533,alert
video_01,84,5.599,alert
video_01,85,5.666,alert
video_01,86,5.733,alert
video_01,87,5.799,alert
video_01,88,5.866,alert
video_01,89,5.933,alert
video_01,90,5.999,alert
video_01,91,6.066,alert
video_01,92,6.133,alert
video_01,93,6.199,alert
video_01,94,6.266,alert
video_01,95,6.333,alert
video_01,96,6.399,alert
video_01,97,6.466,alert
video_01,98,6.533,alert
video_01,99,6.599,alert
video_01,100,6.666,alert
video_01,101,6.733,alert
video_01,102,6.799,alert
video_01,103,6.866,alert
video_01,104,6.933,alert
video_01,105,6.999,alert
video_01,106,7.066,alert
video_01,107,7.133,alert
video_01,108,7.199,alert
video_01,109,7.266,alert
video_01,110,7.333,alert
video_01,111,7.399,alert
video_01,112,7.466,alert
video_01,113,7.533,alert
video_01,114,7.599,alert
video_01,115,7.666,alert
video_01,116,7.733,alert
video_01,117,7.799,alert
video_01,118,7.866,alert
video_01,119,7.933,alert
video_01,120,7.999,alert
video_01,121,8.066,alert
video_01,122,8.133,alert
