video_id,start,end_exclusive,label,window_index
video_01,630,720,0,0
video_01,720,810,0,1
video_01,1710,1800,0,2
video_01,2610,2700,0,3
video_01,2700,2790,0,4
video_01,13770,13860,0,5
video_01,14580,14670,0,6
video_01,16920,17010,0,7
video_01,17010,17100,0,8
video_01,17190,17280,0,9
video_01,31410,31500,0,10
video_01,31500,31590,0,11
video_02,24030,24120,0,12
video_02,24300,24390,0,13
video_02,24570,24660,0,14
video_02,24660,24750,0,15
video_02,24750,24840,0,16
video_02,24840,24930,0,17
video_02,25740,25830,0,18
video_02,27630,27720,0,19
video_02,28080,28170,0,20
video_03,3960,4050,0,21
video_03,4050,4140,0,22
video_03,4140,4230,0,23
video_03,4230,4320,0,24
video_03,5940,6030,0,25
video_03,15480,15570,0,26
video_03,18990,19080,0,27
video_03,19800,19890,0,28
video_03,27000,27090,0,29
video_03,27450,27540,0,30
video_03,29070,29160,1,31
video_04,18540,18630,0,32
video_04,19530,19620,0,33
video_04,22230,22320,0,34
