video 1		
0:00	3:30	Alerta
3:31	4:00	Fadiga
4:01	5:17	Distração
5:18	5:33	Fadiga
5:34	5:49	Alerta
5:50	9:48	Distração
9:49	16:19	Alerta
16:20	16:30	Fadiga
16:31	18:26	Alerta
18:27	23:53	Ausente
23:54	24:23:00	Alerta
24:25:00	27:17:00	Ausente
27:18:00	29:36:00	Alerta
		
video 2		
0:00	2:30	Alerta
2:31	2:32	Distraido
2:32	2:34	Alerta
2:35	2:39	Distraido
2:40	8:32	Alerta
8:33	8:39	Distraido
8:40	13:00	Alerta
13:01	14:54	Distraido
14:55	20:47	Alerta
20:48	22:00	Distraido
22:01	24:59:00	Alerta
25:00:00	25:37:00	Distraido
25:38:00	27:24:00	Alerta
27:25:00	27:31:00	Distraido
27:32:00	28:14:00	Alerta
28:15:00	28:52:00	Distraido
28:53:00	29:54:00	Alerta
		
video 3		
0:00	7:36	Alerta
7:37	14:59	Ausente
15:00	17:43	Alerta
17:44	17:49	Distração
17:50	19:34	Alerta
19:35	19:58	Distração
19:59	20:39	Alerta
20:40	20:54	Distração
20:55	24:30:00	Alerta
24:31:00	24:40:00	Distração
24:41:00	25:56:00	Alerta
25:57:00	25:58:00	Distração
25:59:00	27:31:00	Alerta
27:32:00	27:33:00	Fadiga
27:34:00	27:53:00	Alerta
27:54:00	28:00:00	Fadiga
28:01:00	28:09:00	Alerta
28:10:00	28:17:00	Fadiga
28:18:00	28:19:00	Alerta
28:20:00	28:25:00	Fadiga
28:26:00	28:55:00	Distração
28:56:00	29:12:00	Alerta
29:13:00	29:30:00	Distração
29:31:00	29:44:00	Alerta
		
video 4		
0:00	0:22	Alerta
0:23	0:55	Distração
0:56	1:24	Alerta
1:25	15:35	Ausente
15:36	17:32	Alerta
17:33	17:41	Distração
17:42	19:25	Alerta
19:26	19:32	Distração
19:33	19:34	Fadiga
19:35	19:38	Alerta
19:39	19:40	Fadiga
19:41	19:43	Distração
19:44	21:02	Alerta
21:03	21:14	Distração
21:15	25:03:00	Alerta
25:04:00	25:59:00	Distração
26:00:00	29:45:00	Alerta
